FIELD, LONG NAME, TYPE, INTERPRETATION,
FlAreaBsmt,Floor Area Fin - Basement,Decimal,,
FlArTotFin,Floor Area Fin - Total,Decimal,,
FlArUnfin,Floor Area - Unfinished,Decimal,,
TotFlArea,Floor Area -Grand Total,Decimal,,Y
FrontageFt,Frontage - Feet,Decimal,,
FrontMetre,Frontage - Metres,Decimal,,
CnclProtDt,Cancel Protection Date,Date,,
ProcDate,Processed Date,Date,,
Bth9Ensuit,Bath9 Ensuite?,Character,Lookup,
Bth10Ensui,Bath10 Ensuite?,Character,Lookup,
Bth11Ensui,Bath11 Ensuite?,Character,Lookup,
Bth12Ensui,Bath12 Ensuite?,Character,Lookup,
PropType,Prop Type,Character,Lookup,
GSTIncl,GST Incl,Character,Lookup,
CrawlHt,Crawl Height,Character,,
FullHt,Full Height,Character,,
PartHt,Part Height,Character,,
MeasType,Measurement Type,Character,Lookup,
Room1Lev,Room 1 Level,Character,Lookup,
Room1Dim1,Room 1 Dimension 1,Character,,
Room1Dim2,Room 1 Dimension 2,Character,,
Room2Lev,Room 2 Level,Character,Lookup,
Room2Type,Room 2 Type,Character,Lookup,
Room2Dim1,Room 2 Dimension 1,Character,,
Room2Dim2,Room 2 Dimension 2,Character,,
Room3Lev,Room 3 Level,Character,Lookup,
Room3Type,Room 3 Type,Character,Lookup,
Room3Dim1,Room 3 Dimension 1,Character,,
Room3Dim2,Room 3 Dimension 2,Character,,
Room4Lev,Room 4 Level,Character,Lookup,
Room4Type,Room 4 Type,Character,Lookup,
Room4Dim1,Room 4 Dimension 1,Character,,
Room4Dim2,Room 4 Dimension 2,Character,,
Room5Lev,Room 5 Level,Character,Lookup,
Room5Type,Room 5 Type,Character,Lookup,
Room5Dim1,Room 5 Dimension 1,Character,,
Room5Dim2,Room 5 Dimension 2,Character,,
Room6Lev,Room 6 Level,Character,Lookup,
Room6Type,Room 6 Type,Character,Lookup,
Room6Dim1,Room 6 Dimension 1,Character,,
Room6Dim2,Room 6 Dimension 2,Character,,
Room7Lev,Room 7 Level,Character,Lookup,
Room7Type,Room 7 Type,Character,Lookup,
Room7Dim1,Room 7 Dimension 1,Character,,
Room7Dim2,Room 7 Dimension 2,Character,,
Room8Lev,Room 8 Level,Character,Lookup,
Room8Type,Room 8 Type,Character,Lookup,
Room8Dim1,Room 8 Dimension 1,Character,,
Room8Dim2,Room 8 Dimension 2,Character,,
Room9Lev,Room 9 Level,Character,Lookup,
Room9Type,Room 9 Type,Character,Lookup,
Room9Dim1,Room 9 Dimension 1,Character,,
Room9Dim2,Room 9 Dimension 2,Character,,
Room10Lev,Room 10 Level,Character,Lookup,
Room10Type,Room 10 Type,Character,Lookup,
Room10Dim1,Room 10 Dimension 1,Character,,
Room10Dim2,Room 10 Dimension 2,Character,,
Room11Lev,Room 11 Level,Character,Lookup,
